Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,LinkedIn_Activity_Level,GitHub_Activity_Level,Sentiment_Towards_Current_Employer,Sentiment_Towards_Industry_Trends,Professional_Network,Competitor_Engagement,Response_Time_To_Outreach (Days),Response_Time_To_Interview_Request (Days),Interview_Experience_Satisfaction (1-5),Skill_Fit_With_Role (%),Engagement_Level (1-5),Economic_Conditions,Competing_Offers_Count,Highest_Competing_Offer_Salary (INR),Competing_Offer_Benefits,Competing_Offer_Role_Comparison,Industry_Job_Switching_Rates,Number_Of_Touchpoints,Recruiter_Engagement_Level,Interview_Performance_Score (1-5),Competing_Offer_Employer_Name,Competing_Offer_Role,Competing_Offer_Salary (INR),Competing_Offer_Career_Growth,Competing_Offer_Location,Competing_Offer_Work_Mode,Competing_Offer_Deadline,Candidate_Preference_Between_Offers,Negotiation_Willingness (1-5),Key_Decision_Factors,Work_Life_Balance_Programs,Recognition_And_Reward_Systems,Training_Programs_For_Freshers,Employee_Engagement_Activities,Workplace_Environment_Feedback,Expected Joining Score (1-1000)
Aizawl,9,High,Project Manager,Senior-Level,18,1573335,2736955,Diploma,"Data Analysis, Excel",None,40,3,Day,Yes,Remote,Infosys,Banking,Positive,8,Low,2756125,493849,Below Average,Mid-Level,Architect,Nadiad,Yes,Health Insurance,Good,Permanent,Weak,2024-11-29,Ambiguous,Moderate,None,Neutral,Positive,985,High,4,10,3,97,2,Stable,5,1527830,Stock Options,Better,40,10,1,5,None,Software Engineer,3334971,Excellent,Rajpur Sonarpur,Hybrid,2024-11-20,Offer 2,4,Salary,Yes,No,Not Available,Occasional,Neutral,639
Salem,44,Low,Analyst,Entry-Level,1,1517609,2509518,Diploma,"Java, Spring Boot",PMP,47,3,Night,Yes,Remote,HCL,Banking,Positive,6,Medium,2710655,260834,Average,Entry-Level,Team Lead,Latur,No,Health Insurance,Good,Permanent,Moderate,2024-11-24,Ambiguous,Moderate,None,Negative,Neutral,978,Low,2,6,2,79,1,Stable,1,2913766,Flexible Hours,Better,33,1,4,3,Amazon,Software Engineer,1273376,Moderate,Tiruvottiyur,Offline,2024-12-02,Offer 1,3,Growth,Yes,No,Available,Frequent,Positive,507
Rourkela,14,Low,Project Manager,Mid-Level,12,1660935,2537749,Bachelor's Degree,"Python, SQL, ML",None,48,3,Flexible,No,Remote,HCL,IT Services,Negative,1,Medium,3055235,450127,Above Average,Senior-Level,Architect,Ambala,No,Health Insurance,Excellent,Contract,Weak,2024-11-24,Clear,High,Moderate,Negative,Positive,939,High,10,9,1,60,5,Stable,4,2458847,Stock Options,Better,15,9,3,4,Microsoft,None,1044682,Moderate,Thane,Hybrid,2024-11-29,Offer 2,4,Growth,Yes,No,Available,Rare,Neutral,645
Etawah,43,High,Consultant,Senior-Level,8,667600,2384083,Master's Degree,"Python, SQL, ML",AWS Certified,52,0,Night,Yes,Offline,Infosys,Consulting,Neutral,9,Low,2741151,278630,Average,Entry-Level,Architect,Rajpur Sonarpur,Yes,Health Insurance,Excellent,Permanent,Moderate,2024-12-05,Clear,High,None,Negative,Negative,814,High,2,8,3,86,4,Volatile,4,3427315,Health Insurance,Worse,29,10,2,5,Google,Software Engineer,3473856,Excellent,Ozhukarai,Offline,2024-11-23,Offer 1,2,Growth,Yes,No,Available,Rare,Positive,631
Amaravati,46,Low,Project Manager,Mid-Level,6,907795,2178832,Diploma,"Java, Spring Boot",None,25,3,Day,Yes,Remote,HCL,Banking,Neutral,2,High,2071662,203693,Average,Senior-Level,Developer,Katni,Yes,Transport Allowance,Good,Permanent,Strong,2024-11-23,Ambiguous,Moderate,High,Neutral,Negative,161,Moderate,9,9,2,57,4,Volatile,5,1401445,Stock Options,Worse,18,10,3,5,Microsoft,Software Engineer,3474001,Excellent,Dehri,Hybrid,2024-12-03,Offer 2,5,Work Environment,Yes,Yes,Available,Rare,Positive,866
Karimnagar,5,Low,Project Manager,Entry-Level,17,2444147,2679521,Bachelor's Degree,"Data Analysis, Excel",Scrum Master,76,4,Flexible,Yes,Offline,TCS,Banking,Positive,10,Low,1580320,767505,Above Average,Senior-Level,Developer,Khora ,No,Health Insurance,Limited,Permanent,Strong,2024-11-20,Clear,Moderate,Moderate,Negative,Positive,778,Moderate,2,9,4,67,5,Volatile,5,3863209,Stock Options,Worse,39,6,1,3,None,None,2857369,Limited,Sonipat,Offline,2024-11-22,Offer 2,4,Growth,No,Yes,Not Available,Occasional,Positive,557
Ghaziabad,10,Low,Consultant,Senior-Level,18,871839,1942085,Master's Degree,"Java, Spring Boot",None,36,4,Night,Yes,Remote,HCL,Consulting,Negative,8,Medium,2040742,871899,Above Average,Mid-Level,Team Lead,Indore,Yes,Flexible Hours,Good,Permanent,Weak,2024-12-11,Ambiguous,High,Moderate,Neutral,Positive,480,Moderate,5,9,1,91,4,Volatile,0,679617,Stock Options,Similar,13,2,4,1,Google,None,3399792,Limited,Katni,Offline,2024-12-02,Offer 2,1,Growth,Yes,No,Available,Frequent,Positive,562
Adoni,10,Low,Project Manager,Entry-Level,13,1264627,1382772,Diploma,"Python, SQL, ML",PMP,85,2,Night,No,Hybrid,Cognizant,IT Services,Positive,4,Low,1582388,441356,Average,Mid-Level,Developer,Kishanganj,Yes,Transport Allowance,Limited,Permanent,Weak,2024-12-04,Clear,Low,None,Neutral,Positive,132,Low,9,9,1,53,3,Stable,3,3186736,Health Insurance,Worse,34,5,5,2,Google,Data Scientist,932896,Limited,Mira-Bhayandar,Offline,2024-11-27,Offer 2,1,Work Environment,Yes,No,Available,Frequent,Neutral,785
Jorhat,13,Low,Consultant,Senior-Level,5,1624563,461144,Master's Degree,"Python, SQL, ML",AWS Certified,55,0,Day,No,Hybrid,Cognizant,Consulting,Negative,6,High,3437882,713488,Above Average,Mid-Level,Architect,Chapra,No,Transport Allowance,Limited,Contract,Weak,2024-12-14,Ambiguous,High,Moderate,Negative,Neutral,392,Moderate,9,6,5,80,5,Volatile,1,709558,Stock Options,Better,27,2,4,2,None,Data Scientist,1627101,Excellent,Pondicherry,Remote,2024-11-23,Offer 1,1,Growth,Yes,No,Not Available,Rare,Positive,746
Deoghar,42,Medium,Software Engineer,Entry-Level,15,2312374,2217604,Bachelor's Degree,"Java, Spring Boot",PMP,48,0,Night,Yes,Hybrid,TCS,Banking,Positive,1,Low,2278145,993161,Average,Senior-Level,Developer,Bahraich,No,Flexible Hours,Limited,Permanent,Strong,2024-12-11,Ambiguous,Moderate,None,Negative,Neutral,517,Moderate,9,10,2,65,1,Volatile,5,554097,Flexible Hours,Worse,39,4,1,2,Amazon,None,2855396,Limited,Sikar,Offline,2024-11-22,Offer 2,3,Salary,No,No,Available,Occasional,Neutral,925
Satna,14,High,Analyst,Entry-Level,1,863946,2192605,Diploma,"Data Analysis, Excel",AWS Certified,83,1,Night,Yes,Offline,TCS,IT Services,Negative,1,High,2591307,915516,Below Average,Entry-Level,Team Lead,Warangal,Yes,Transport Allowance,Good,Permanent,Moderate,2024-11-21,Clear,Moderate,Low,Positive,Negative,370,Moderate,4,2,4,61,5,Stable,5,2921435,Flexible Hours,Better,19,3,2,1,Microsoft,None,2362484,Moderate,Sagar,Hybrid,2024-11-24,Offer 1,2,Work Environment,Yes,No,Not Available,Frequent,Positive,633
