Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,Expected_Joining_Score
Darbhanga,29,Low,Data Scientist,Mid-Level,5,1516407,2035434,Diploma,"Java, Spring Boot",None,61,1,Day,No,Remote,HCL,Retail,Neutral,9,High,2951242,333266,Below Average,Mid-Level,Data Analyst,Darbhanga,Yes,Stock Options,Limited,Weak,High,2024-12-10 17:53:29.688940,Clear,405.3747333333333
Delhi,20,Medium,Data Scientist,Entry-Level,4,1292335,806070,PhD,"JavaScript, React",AWS Certified,86,5,Night,No,Hybrid,Accenture,Healthcare,Positive,2,Low,1934581,350468,Average,Lead,Developer,Mumbai,Yes,Stock Options,Moderate,Weak,High,2024-12-13 17:53:29.688940,Clear,391.48603333333335
Bangalore,23,Medium,Data Scientist,Entry-Level,4,810091,2211320,Diploma,"Java, Spring Boot",AWS Certified,24,7,Flexible,No,Remote,Infosys,IT Services,Negative,7,High,1165858,42732,Average,Entry-Level,Data Analyst,Munger,No,Stock Options,Limited,Strong,High,2025-01-09 17:53:29.688940,Clear,1000.0
Pune,5,Medium,Software Engineer,Lead,8,1625455,735872,PhD,"JavaScript, React",Google Cloud Certified,69,0,Day,No,Hybrid,HCL,Consulting,Positive,4,Low,754699,368652,Average,Mid-Level,Data Analyst,Darbhanga,No,Flexible Hours,Excellent,Stable,Low,2024-12-23 17:53:29.688940,Ambiguous,1000.0
Mumbai,9,High,Software Engineer,Mid-Level,8,871299,1909512,Bachelor's Degree,"AWS, Docker, Kubernetes",AWS Certified,13,3,Night,No,Remote,TCS,Retail,Neutral,2,High,2555234,448545,Above Average,Entry-Level,Data Analyst,Chennai,Yes,Stock Options,Moderate,Strong,Moderate,2025-01-20 17:53:29.688940,Ambiguous,900.1744666666666
Chennai,26,Medium,Software Engineer,Senior-Level,11,1197153,1100566,Bachelor's Degree,"AWS, Docker, Kubernetes",AWS Certified,40,0,Night,Yes,Hybrid,Infosys,Consulting,Positive,8,Low,2431800,126084,Average,Lead,Data Analyst,Madanapalle,Yes,Flexible Hours,Limited,Strong,High,2024-12-09 17:53:29.688940,Ambiguous,426.06
Chennai,28,Low,Software Engineer,Lead,7,1286072,1202713,Diploma,"Python, SQL, ML",Scrum Master,56,13,Day,No,Remote,Infosys,Banking,Negative,1,Moderate,1258434,299233,Average,Mid-Level,Team Lead,Kolkata,No,Health Insurance,Excellent,Strong,Moderate,2024-12-09 17:53:29.688940,Clear,470.94780000000003
Delhi,47,High,Analyst,Mid-Level,1,1064669,1192295,Master's Degree,"AWS, Docker, Kubernetes",None,37,3,Night,No,Hybrid,HCL,IT Services,Positive,2,Low,2656444,476775,Below Average,Lead,Team Lead,Kolkata,Yes,Flexible Hours,Excellent,Strong,Low,2024-12-12 17:53:29.688940,Ambiguous,861.5481333333333
Delhi,49,Low,Project Manager,Lead,10,598815,714347,Master's Degree,"Python, SQL, ML",PMP,61,13,Night,No,Offline,Cognizant,Retail,Positive,2,Low,1245372,208072,Above Average,Mid-Level,Manager,Darbhanga,Yes,Health Insurance,Limited,Weak,Moderate,2025-01-04 17:53:29.688940,Clear,248.5124
Munger,41,Medium,Project Manager,Mid-Level,4,685052,1917030,PhD,"C++, Algorithms",Google Cloud Certified,40,10,Day,No,Remote,TCS,IT Services,Positive,0,High,2453493,263876,Below Average,Mid-Level,Data Analyst,Bangalore,Yes,Health Insurance,Limited,Stable,Moderate,2024-12-08 17:53:29.688940,Ambiguous,416.7831
Munger,40,Low,Data Scientist,Mid-Level,1,803771,661137,PhD,"JavaScript, React",Google Cloud Certified,44,8,Flexible,No,Hybrid,Accenture,Retail,Positive,6,High,1392510,57685,Average,Mid-Level,Data Analyst,Munger,No,Health Insurance,Moderate,Strong,Low,2024-12-12 17:53:29.688940,Ambiguous,1000.0
Darbhanga,40,High,Consultant,Lead,11,1050793,610144,Bachelor's Degree,"C++, Algorithms",AWS Certified,79,5,Night,Yes,Remote,Accenture,Banking,Positive,5,Moderate,2984028,359275,Below Average,Entry-Level,Developer,Delhi,Yes,Flexible Hours,Limited,Weak,Moderate,2024-12-11 17:53:29.688940,Ambiguous,196.4676
Darbhanga,8,High,Software Engineer,Entry-Level,14,1767628,416077,PhD,"C++, Algorithms",PMP,15,5,Flexible,Yes,Remote,Cognizant,Retail,Neutral,5,Low,2297851,33101,Below Average,Entry-Level,Data Analyst,Bangalore,No,Flexible Hours,Moderate,Stable,Low,2025-01-05 17:53:29.688940,Ambiguous,392.59503333333333
Madanapalle,40,Low,Project Manager,Lead,5,664118,1834688,Master's Degree,"Python, SQL, ML",PMP,18,4,Flexible,No,Offline,TCS,Banking,Negative,5,Moderate,1649821,427331,Above Average,Lead,Developer,Munger,No,Health Insurance,Moderate,Stable,Moderate,2024-12-09 17:53:29.688940,Clear,614.9940333333334
Darbhanga,22,Low,Project Manager,Entry-Level,3,1476914,1778675,Bachelor's Degree,"JavaScript, React",PMP,36,13,Flexible,No,Remote,TCS,IT Services,Positive,6,High,2502115,467293,Above Average,Entry-Level,Manager,Hyderabad,No,Stock Options,Limited,Weak,Low,2024-12-22 17:53:29.688940,Clear,689.4038333333333
Hyderabad,20,Low,Software Engineer,Entry-Level,3,1567086,1068878,Diploma,"Python, SQL, ML",Google Cloud Certified,84,2,Flexible,No,Remote,Infosys,IT Services,Positive,5,Low,1994550,270249,Above Average,Entry-Level,Team Lead,Hyderabad,Yes,Stock Options,Excellent,Strong,Low,2024-12-12 17:53:29.688940,Clear,1000.0
Delhi,45,High,Analyst,Senior-Level,4,1933718,1062756,PhD,"Java, Spring Boot",Google Cloud Certified,78,13,Flexible,No,Offline,Infosys,IT Services,Negative,8,Moderate,2680598,263638,Below Average,Lead,Team Lead,Bangalore,Yes,Health Insurance,Excellent,Weak,Moderate,2025-01-07 17:53:29.688940,Ambiguous,678.3532666666666
Pune,22,Medium,Analyst,Mid-Level,2,1384667,1533124,Diploma,"C++, Algorithms",Scrum Master,60,1,Night,Yes,Hybrid,TCS,Banking,Negative,4,Moderate,1601444,95753,Above Average,Lead,Developer,Hyderabad,Yes,Stock Options,Excellent,Stable,Low,2025-01-02 17:53:29.688940,Ambiguous,1000.0
Hyderabad,26,Low,Project Manager,Lead,7,438192,1619725,PhD,"JavaScript, React",Google Cloud Certified,25,8,Night,No,Hybrid,HCL,Consulting,Negative,0,High,1113457,311322,Below Average,Senior-Level,Data Analyst,Delhi,Yes,Flexible Hours,Limited,Strong,Moderate,2024-12-21 17:53:29.688940,Clear,842.1152333333333
Bangalore,6,Medium,Analyst,Mid-Level,12,1356435,2071853,Master's Degree,"C++, Algorithms",Google Cloud Certified,78,8,Flexible,Yes,Hybrid,HCL,Consulting,Negative,0,Low,1158691,178132,Below Average,Senior-Level,Developer,Bangalore,Yes,Health Insurance,Moderate,Stable,High,2025-01-17 17:53:29.688940,Clear,295.6230333333333
Chennai,25,High,Software Engineer,Senior-Level,13,1578051,992580,PhD,"Java, Spring Boot",Scrum Master,63,6,Day,Yes,Hybrid,HCL,Retail,Positive,0,High,2736987,71598,Average,Mid-Level,Manager,Madanapalle,No,Stock Options,Excellent,Strong,Moderate,2025-01-17 17:53:29.688940,Ambiguous,693.2329
Darbhanga,40,Low,Project Manager,Entry-Level,4,476549,2371103,Master's Degree,"Java, Spring Boot",Google Cloud Certified,12,1,Flexible,Yes,Hybrid,TCS,IT Services,Negative,1,High,2244132,492860,Below Average,Entry-Level,Team Lead,Munger,Yes,Stock Options,Limited,Strong,High,2024-12-18 17:53:29.688940,Ambiguous,524.8044
Chennai,48,Low,Software Engineer,Lead,5,1486434,2490692,Master's Degree,"JavaScript, React",AWS Certified,86,3,Day,Yes,Hybrid,Accenture,Consulting,Neutral,3,Low,2696242,439164,Average,Entry-Level,Data Analyst,Kolkata,No,Stock Options,Excellent,Weak,Low,2024-12-26 17:53:29.688940,Clear,733.8747333333333
Mumbai,43,High,Analyst,Mid-Level,12,1185429,2345870,Diploma,"JavaScript, React",AWS Certified,33,10,Night,No,Offline,HCL,Healthcare,Positive,5,Low,2476139,267215,Below Average,Mid-Level,Data Analyst,Delhi,Yes,Flexible Hours,Excellent,Strong,High,2024-12-17 17:53:29.688940,Ambiguous,1000.0
Madanapalle,43,Low,Software Engineer,Senior-Level,14,1324017,1401396,PhD,"Java, Spring Boot",Scrum Master,22,7,Day,Yes,Hybrid,Accenture,IT Services,Neutral,6,High,2044237,292394,Average,Mid-Level,Data Analyst,Chennai,No,Flexible Hours,Excellent,Strong,Low,2025-01-18 17:53:29.688940,Clear,1000.0
Mumbai,33,Medium,Analyst,Entry-Level,2,921014,2489284,Diploma,"C++, Algorithms",Scrum Master,19,9,Night,No,Offline,HCL,Healthcare,Negative,4,High,1682540,435696,Above Average,Mid-Level,Team Lead,Madanapalle,No,Stock Options,Limited,Weak,Moderate,2024-12-24 17:53:29.688940,Clear,1000.0
Madanapalle,30,High,Analyst,Entry-Level,6,893533,1486429,Master's Degree,"AWS, Docker, Kubernetes",AWS Certified,53,5,Day,Yes,Remote,TCS,Consulting,Neutral,6,Low,425892,308657,Average,Entry-Level,Data Analyst,Delhi,Yes,Stock Options,Moderate,Strong,Moderate,2024-12-25 17:53:29.688940,Clear,739.1964
Munger,25,High,Software Engineer,Mid-Level,9,777906,577997,Master's Degree,"C++, Algorithms",PMP,72,4,Flexible,No,Offline,HCL,Banking,Positive,1,Moderate,523422,160065,Below Average,Entry-Level,Manager,Madanapalle,No,Stock Options,Excellent,Weak,Moderate,2025-01-01 17:53:29.688940,Clear,355.4474
Chennai,21,Low,Analyst,Entry-Level,8,940006,1591639,Master's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,57,10,Night,No,Offline,Accenture,Healthcare,Positive,5,Moderate,438605,468339,Average,Lead,Manager,Kolkata,Yes,Stock Options,Limited,Stable,High,2024-12-22 17:53:29.688940,Ambiguous,491.62016666666665
Madanapalle,20,High,Data Scientist,Senior-Level,8,1936770,876228,Master's Degree,"Python, SQL, ML",None,58,9,Day,Yes,Offline,Cognizant,Healthcare,Positive,2,Low,548632,17405,Average,Entry-Level,Team Lead,Pune,Yes,Health Insurance,Excellent,Stable,High,2025-01-23 17:53:29.688940,Ambiguous,234.28773333333334
Kolkata,35,Low,Software Engineer,Entry-Level,2,1172827,435723,Bachelor's Degree,"JavaScript, React",None,19,1,Flexible,Yes,Offline,Accenture,IT Services,Positive,8,Low,2120776,219278,Above Average,Senior-Level,Team Lead,Kolkata,Yes,Stock Options,Moderate,Weak,Low,2025-01-14 17:53:29.688940,Clear,158.69253333333333
Hyderabad,13,Low,Data Scientist,Lead,4,1330651,1080147,Master's Degree,"Java, Spring Boot",Scrum Master,38,0,Day,Yes,Hybrid,Cognizant,Retail,Neutral,9,Low,1933080,210388,Average,Lead,Team Lead,Bangalore,Yes,Stock Options,Moderate,Strong,High,2025-01-23 17:53:29.688940,Ambiguous,835.436
Madanapalle,35,High,Software Engineer,Lead,8,369745,1755511,PhD,"Python, SQL, ML",None,77,0,Day,Yes,Remote,Accenture,Banking,Positive,9,Moderate,2292712,381097,Above Average,Mid-Level,Developer,Darbhanga,Yes,Health Insurance,Limited,Stable,Low,2025-01-21 17:53:29.688940,Ambiguous,974.4237333333333
Madanapalle,18,Low,Analyst,Mid-Level,11,388915,475171,Master's Degree,"C++, Algorithms",PMP,89,0,Day,No,Remote,HCL,IT Services,Positive,3,Low,1568045,367423,Average,Entry-Level,Team Lead,Madanapalle,No,Health Insurance,Limited,Stable,Moderate,2025-01-09 17:53:29.688940,Clear,525.2681666666667
Hyderabad,41,Medium,Analyst,Senior-Level,1,1297886,808148,Bachelor's Degree,"AWS, Docker, Kubernetes",None,31,14,Night,Yes,Remote,HCL,IT Services,Positive,4,High,2737752,345283,Average,Mid-Level,Team Lead,Munger,No,Stock Options,Excellent,Strong,High,2025-01-07 17:53:29.688940,Ambiguous,1000.0
Chennai,6,Medium,Project Manager,Entry-Level,8,711219,2271919,PhD,"JavaScript, React",AWS Certified,40,10,Night,Yes,Offline,Accenture,Consulting,Negative,4,Low,883613,130702,Below Average,Senior-Level,Developer,Bangalore,Yes,Stock Options,Excellent,Strong,Low,2025-01-13 17:53:29.688940,Clear,1000.0
Chennai,18,Low,Project Manager,Entry-Level,3,1588040,1834178,Bachelor's Degree,"AWS, Docker, Kubernetes",Scrum Master,68,5,Flexible,No,Offline,HCL,Retail,Neutral,1,Low,2933654,202851,Below Average,Mid-Level,Data Analyst,Munger,No,Health Insurance,Limited,Weak,High,2025-01-23 17:53:29.688940,Clear,768.7884666666666
Hyderabad,37,Medium,Data Scientist,Entry-Level,8,391087,2336309,Bachelor's Degree,"C++, Algorithms",None,67,3,Day,No,Hybrid,HCL,Retail,Negative,3,High,2300928,475997,Above Average,Lead,Developer,Hyderabad,Yes,Flexible Hours,Excellent,Weak,High,2025-01-12 17:53:29.688940,Ambiguous,717.6976
Mumbai,39,Low,Analyst,Lead,6,1871429,1851738,PhD,"C++, Algorithms",Google Cloud Certified,86,10,Day,No,Hybrid,TCS,Banking,Positive,6,Low,1811214,127892,Above Average,Entry-Level,Manager,Darbhanga,Yes,Flexible Hours,Limited,Stable,Moderate,2024-12-13 17:53:29.688940,Ambiguous,517.3738000000001
Kolkata,43,Medium,Project Manager,Senior-Level,7,1170868,1910933,Bachelor's Degree,"Java, Spring Boot",Scrum Master,20,8,Night,No,Remote,Infosys,Banking,Negative,1,High,2786964,26779,Below Average,Mid-Level,Manager,Mumbai,No,Flexible Hours,Limited,Strong,Low,2025-01-20 17:53:29.688940,Ambiguous,1000.0
Pune,24,High,Analyst,Entry-Level,2,1164348,1236005,Master's Degree,"Python, SQL, ML",PMP,23,8,Night,No,Offline,Infosys,Retail,Positive,4,Moderate,2626461,174364,Above Average,Entry-Level,Data Analyst,Pune,Yes,Health Insurance,Moderate,Strong,Moderate,2025-01-22 17:53:29.688940,Clear,733.5487
Bangalore,6,Low,Software Engineer,Mid-Level,1,1882571,2088162,Diploma,"JavaScript, React",AWS Certified,15,2,Day,Yes,Offline,Accenture,Healthcare,Negative,4,Moderate,1741962,91135,Below Average,Lead,Developer,Pune,No,Stock Options,Limited,Strong,Low,2025-01-24 17:53:29.688940,Ambiguous,1000.0
Kolkata,45,Low,Project Manager,Senior-Level,6,979739,2014269,Diploma,"Java, Spring Boot",None,31,5,Day,Yes,Offline,Infosys,Healthcare,Positive,4,Low,1587953,194666,Average,Lead,Data Analyst,Kolkata,Yes,Flexible Hours,Moderate,Weak,Moderate,2024-12-15 17:53:29.688940,Ambiguous,464.93176666666665
Chennai,23,Low,Data Scientist,Senior-Level,12,1398853,1692661,Diploma,"AWS, Docker, Kubernetes",AWS Certified,82,5,Day,Yes,Remote,Cognizant,IT Services,Positive,6,Moderate,735795,483562,Above Average,Lead,Manager,Madanapalle,Yes,Flexible Hours,Excellent,Weak,High,2024-12-18 17:53:29.688940,Clear,388.5265
Pune,41,Low,Project Manager,Entry-Level,3,1177036,1029265,PhD,"Python, SQL, ML",PMP,25,9,Night,No,Remote,Accenture,Retail,Positive,9,Low,881928,253215,Average,Senior-Level,Developer,Darbhanga,No,Stock Options,Excellent,Weak,Low,2025-01-02 17:53:29.688940,Clear,964.3976
Munger,22,Low,Analyst,Lead,4,1027802,836610,PhD,"JavaScript, React",None,2,9,Day,Yes,Offline,Accenture,IT Services,Negative,6,Low,2569412,103618,Below Average,Lead,Developer,Pune,Yes,Health Insurance,Excellent,Stable,Moderate,2025-01-05 17:53:29.688940,Clear,625.6470666666667
Darbhanga,20,Low,Consultant,Senior-Level,13,1141188,2173201,PhD,"AWS, Docker, Kubernetes",Scrum Master,81,0,Day,Yes,Offline,Cognizant,Healthcare,Positive,7,High,1202350,384709,Above Average,Senior-Level,Manager,Chennai,No,Flexible Hours,Moderate,Strong,Low,2024-12-09 17:53:29.688940,Clear,1000.0
Madanapalle,8,High,Consultant,Mid-Level,9,380748,1777280,Diploma,"JavaScript, React",Scrum Master,6,14,Night,Yes,Remote,Infosys,Banking,Negative,0,High,810862,141907,Above Average,Entry-Level,Team Lead,Hyderabad,No,Flexible Hours,Limited,Weak,Low,2024-12-31 17:53:29.688940,Ambiguous,984.0287333333333
Hyderabad,16,High,Analyst,Senior-Level,3,1428435,2326772,Diploma,"JavaScript, React",Google Cloud Certified,87,8,Night,No,Remote,Cognizant,Retail,Positive,2,Low,1223840,24732,Above Average,Lead,Data Analyst,Darbhanga,Yes,Stock Options,Limited,Strong,Low,2024-12-25 17:53:29.688940,Ambiguous,382.79466666666667
Hyderabad,33,Medium,Software Engineer,Lead,2,1709190,898559,PhD,"Python, SQL, ML",PMP,15,3,Night,No,Hybrid,HCL,Consulting,Neutral,0,Moderate,1387001,209569,Above Average,Lead,Manager,Chennai,No,Stock Options,Excellent,Weak,Low,2025-01-09 17:53:29.688940,Ambiguous,916.2333666666667
Madanapalle,11,Low,Project Manager,Mid-Level,2,1672299,1596569,Diploma,"AWS, Docker, Kubernetes",None,52,5,Night,Yes,Hybrid,Accenture,IT Services,Positive,6,Low,2878144,203260,Average,Senior-Level,Manager,Pune,No,Health Insurance,Limited,Strong,Low,2025-01-22 17:53:29.688940,Clear,978.9381333333333
Darbhanga,18,Medium,Consultant,Lead,2,1205309,1873971,Bachelor's Degree,"Java, Spring Boot",AWS Certified,87,9,Day,Yes,Hybrid,TCS,Retail,Neutral,4,Moderate,2703154,107867,Above Average,Lead,Developer,Bangalore,No,Stock Options,Moderate,Stable,Moderate,2024-12-28 17:53:29.688940,Clear,1000.0
Bangalore,16,Medium,Software Engineer,Entry-Level,6,372884,2156171,Bachelor's Degree,"Java, Spring Boot",AWS Certified,3,11,Night,Yes,Offline,Cognizant,Consulting,Positive,1,High,2001998,368034,Above Average,Mid-Level,Developer,Chennai,No,Health Insurance,Excellent,Stable,Moderate,2024-12-29 17:53:29.688940,Clear,981.7332666666666
Darbhanga,39,High,Analyst,Senior-Level,2,1021471,2135973,Diploma,"Java, Spring Boot",None,44,7,Night,Yes,Offline,Accenture,IT Services,Positive,9,Moderate,2843678,101728,Above Average,Senior-Level,Data Analyst,Darbhanga,Yes,Health Insurance,Moderate,Stable,Moderate,2025-01-09 17:53:29.688940,Clear,871.7892666666667
Pune,9,Medium,Software Engineer,Mid-Level,11,995299,433275,PhD,"JavaScript, React",PMP,31,0,Day,No,Offline,Accenture,Healthcare,Positive,1,Low,2542519,468025,Above Average,Senior-Level,Manager,Mumbai,No,Stock Options,Limited,Weak,Low,2025-01-08 17:53:29.688940,Ambiguous,1000.0
Darbhanga,21,High,Analyst,Lead,7,554557,1223124,Master's Degree,"C++, Algorithms",PMP,82,7,Flexible,No,Remote,Cognizant,IT Services,Positive,6,Moderate,1939275,309206,Below Average,Senior-Level,Manager,Delhi,Yes,Flexible Hours,Moderate,Strong,Moderate,2025-01-09 17:53:29.688940,Clear,956.6425
Pune,46,Medium,Project Manager,Entry-Level,7,1233252,2243880,Master's Degree,"Python, SQL, ML",AWS Certified,77,5,Day,No,Hybrid,TCS,Banking,Positive,4,Moderate,572576,187044,Average,Senior-Level,Developer,Munger,Yes,Flexible Hours,Limited,Strong,High,2025-01-16 17:53:29.688940,Clear,890.0858666666667
Darbhanga,36,Low,Software Engineer,Mid-Level,7,1941743,976052,Diploma,"Java, Spring Boot",None,57,0,Day,No,Remote,Accenture,IT Services,Negative,3,Low,1173225,245757,Below Average,Entry-Level,Manager,Pune,No,Flexible Hours,Moderate,Weak,High,2024-12-21 17:53:29.688940,Ambiguous,1000.0
Bangalore,14,Medium,Project Manager,Senior-Level,14,416506,519564,Master's Degree,"Python, SQL, ML",None,12,11,Day,No,Remote,HCL,IT Services,Negative,7,High,622770,386806,Average,Senior-Level,Developer,Hyderabad,No,Stock Options,Moderate,Strong,Low,2025-01-21 17:53:29.688940,Clear,912.759
Bangalore,47,High,Software Engineer,Senior-Level,13,866403,2363276,PhD,"JavaScript, React",AWS Certified,21,11,Day,Yes,Remote,HCL,Retail,Negative,2,Low,862468,268228,Above Average,Entry-Level,Team Lead,Kolkata,Yes,Health Insurance,Excellent,Weak,Moderate,2025-01-02 17:53:29.688940,Ambiguous,483.74893333333335
Chennai,21,High,Analyst,Lead,2,1672743,1997330,Bachelor's Degree,"Python, SQL, ML",None,43,8,Day,No,Offline,HCL,Retail,Neutral,2,High,2686885,11677,Above Average,Entry-Level,Team Lead,Madanapalle,No,Health Insurance,Limited,Strong,High,2025-01-03 17:53:29.688940,Clear,766.5628333333333
Madanapalle,9,High,Analyst,Mid-Level,7,784143,808978,Bachelor's Degree,"Java, Spring Boot",None,43,12,Day,No,Offline,TCS,Healthcare,Positive,7,Moderate,811268,267666,Below Average,Entry-Level,Data Analyst,Delhi,Yes,Stock Options,Excellent,Stable,Low,2024-12-17 17:53:29.688940,Clear,683.0422666666667
Bangalore,49,Medium,Software Engineer,Entry-Level,10,1960807,1074290,PhD,"Java, Spring Boot",Scrum Master,29,8,Day,Yes,Remote,Infosys,Banking,Positive,1,High,1079991,40047,Average,Mid-Level,Data Analyst,Hyderabad,Yes,Stock Options,Excellent,Strong,Moderate,2025-01-13 17:53:29.688940,Clear,309.99969999999996
Pune,46,Medium,Analyst,Entry-Level,8,1801776,1633861,Master's Degree,"JavaScript, React",Scrum Master,22,9,Flexible,No,Hybrid,HCL,Banking,Positive,2,Moderate,1256912,343320,Above Average,Mid-Level,Manager,Chennai,Yes,Stock Options,Excellent,Strong,Moderate,2025-01-26 17:53:29.688940,Ambiguous,779.8970666666667
Bangalore,13,High,Data Scientist,Entry-Level,8,671373,2154310,Diploma,"JavaScript, React",Google Cloud Certified,11,13,Day,Yes,Offline,Cognizant,Healthcare,Neutral,3,High,1179206,318490,Average,Entry-Level,Manager,Hyderabad,Yes,Stock Options,Excellent,Strong,Moderate,2024-12-14 17:53:29.688940,Clear,493.3068666666667
Chennai,37,Low,Data Scientist,Lead,14,1782539,2074742,Bachelor's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,13,7,Day,No,Offline,Infosys,Consulting,Neutral,9,Low,2130456,199846,Average,Lead,Manager,Pune,Yes,Flexible Hours,Moderate,Weak,Moderate,2024-12-24 17:53:29.688940,Clear,670.0152
Hyderabad,40,Low,Project Manager,Entry-Level,2,1292194,1241307,Master's Degree,"JavaScript, React",PMP,35,13,Day,No,Remote,Cognizant,IT Services,Neutral,2,Moderate,975938,486829,Average,Mid-Level,Manager,Kolkata,Yes,Flexible Hours,Limited,Strong,Moderate,2025-01-19 17:53:29.688940,Clear,481.5312666666667
Pune,40,Medium,Data Scientist,Mid-Level,5,1277882,1881106,Master's Degree,"C++, Algorithms",Scrum Master,44,6,Day,No,Offline,TCS,Retail,Neutral,7,Low,2351027,105150,Average,Senior-Level,Team Lead,Bangalore,No,Flexible Hours,Excellent,Weak,High,2024-12-11 17:53:29.688940,Clear,952.3675666666667
Chennai,22,Medium,Data Scientist,Lead,14,1768415,616272,Bachelor's Degree,"C++, Algorithms",Scrum Master,71,0,Day,Yes,Hybrid,HCL,Healthcare,Negative,5,Low,1492899,174100,Below Average,Lead,Developer,Bangalore,Yes,Flexible Hours,Moderate,Strong,Low,2025-01-09 17:53:29.688940,Clear,534.7633000000001
Mumbai,13,High,Consultant,Senior-Level,6,1845505,851631,Bachelor's Degree,"Java, Spring Boot",Scrum Master,23,10,Flexible,Yes,Remote,Accenture,Healthcare,Neutral,2,High,1599579,253229,Above Average,Mid-Level,Developer,Darbhanga,No,Health Insurance,Moderate,Strong,Moderate,2024-12-23 17:53:29.688940,Clear,811.3193
Mumbai,33,Medium,Consultant,Lead,9,992669,744604,Diploma,"JavaScript, React",Scrum Master,2,0,Night,Yes,Offline,HCL,Retail,Neutral,6,Low,822791,492034,Above Average,Senior-Level,Manager,Kolkata,Yes,Flexible Hours,Moderate,Weak,High,2024-12-31 17:53:29.688940,Clear,793.4263666666667
Munger,18,Medium,Consultant,Lead,6,1600716,970543,PhD,"C++, Algorithms",PMP,77,7,Night,No,Remote,TCS,Retail,Neutral,3,High,1946772,442857,Above Average,Lead,Team Lead,Darbhanga,Yes,Stock Options,Excellent,Stable,High,2025-01-23 17:53:29.688940,Ambiguous,1000.0
Darbhanga,29,High,Consultant,Lead,10,1268170,711806,Master's Degree,"C++, Algorithms",AWS Certified,50,12,Day,Yes,Remote,HCL,Consulting,Neutral,2,High,1558892,491603,Average,Mid-Level,Manager,Bangalore,No,Stock Options,Limited,Stable,Moderate,2024-12-28 17:53:29.688940,Ambiguous,388.9630666666667
Madanapalle,19,High,Analyst,Mid-Level,6,1573111,750226,Diploma,"AWS, Docker, Kubernetes",PMP,74,9,Flexible,Yes,Hybrid,HCL,Banking,Negative,1,Moderate,475362,403203,Average,Lead,Developer,Madanapalle,Yes,Stock Options,Moderate,Stable,Low,2025-01-05 17:53:29.688940,Ambiguous,1000.0
Delhi,10,Medium,Project Manager,Senior-Level,10,694283,1004654,Bachelor's Degree,"JavaScript, React",AWS Certified,54,7,Flexible,No,Hybrid,HCL,Retail,Positive,7,Low,1461864,412010,Average,Entry-Level,Data Analyst,Pune,No,Flexible Hours,Limited,Weak,Moderate,2025-01-26 17:53:29.688940,Ambiguous,842.7288
Kolkata,46,Low,Project Manager,Senior-Level,10,1890129,449496,PhD,"AWS, Docker, Kubernetes",Google Cloud Certified,37,0,Flexible,No,Offline,TCS,Healthcare,Neutral,7,Low,1205736,348844,Average,Entry-Level,Team Lead,Mumbai,Yes,Flexible Hours,Limited,Stable,Moderate,2024-12-22 17:53:29.688940,Clear,1000.0
Chennai,33,Medium,Data Scientist,Lead,6,372445,1636883,PhD,"Python, SQL, ML",Scrum Master,86,7,Night,No,Remote,HCL,IT Services,Negative,1,Low,2504697,411580,Below Average,Mid-Level,Developer,Delhi,Yes,Stock Options,Moderate,Weak,Low,2025-01-04 17:53:29.688940,Ambiguous,261.48990000000003
Hyderabad,19,Low,Project Manager,Lead,9,1166204,1952530,Master's Degree,"AWS, Docker, Kubernetes",AWS Certified,81,7,Night,No,Offline,Accenture,Consulting,Negative,8,Low,2937265,387189,Average,Senior-Level,Developer,Delhi,No,Stock Options,Excellent,Weak,High,2024-12-25 17:53:29.688940,Ambiguous,619.9088333333334
Kolkata,33,Low,Data Scientist,Lead,10,814406,2081739,PhD,"Python, SQL, ML",PMP,19,11,Flexible,Yes,Offline,Accenture,IT Services,Negative,6,High,2353271,348677,Average,Senior-Level,Data Analyst,Pune,Yes,Flexible Hours,Excellent,Strong,Moderate,2024-12-15 17:53:29.688940,Ambiguous,381.44236666666666
Hyderabad,8,Low,Project Manager,Mid-Level,7,659045,1208635,Bachelor's Degree,"Python, SQL, ML",AWS Certified,1,14,Night,Yes,Offline,Infosys,IT Services,Positive,5,High,1607196,32522,Average,Entry-Level,Data Analyst,Madanapalle,Yes,Health Insurance,Excellent,Stable,Moderate,2024-12-16 17:53:29.688940,Clear,1000.0
Kolkata,22,High,Software Engineer,Mid-Level,1,483863,1955267,Bachelor's Degree,"JavaScript, React",None,25,9,Night,Yes,Hybrid,Infosys,Banking,Neutral,2,Low,1088344,193942,Average,Senior-Level,Data Analyst,Pune,No,Stock Options,Moderate,Stable,Moderate,2025-01-22 17:53:29.688940,Ambiguous,767.2781333333334
